category,name,url,description,nested
Programming Languages,JavaScript,https://github.com/sorrycc/awesome-javascript#readme,,false
Programming Languages,Promises,https://github.com/wbinnssmith/awesome-promises#readme,,true
Programming Languages,Standard Style,https://github.com/standard/awesome-standard#readme,Style guide and linter.,true
Programming Languages,Must Watch Talks,https://github.com/bolshchikov/js-must-watch#readme,,true
Programming Languages,Tips,https://github.com/loverajoel/jstips#readme,,true
Programming Languages,Network Layer,https://github.com/Kikobeats/awesome-network-js#readme,,true
Programming Languages,Micro npm Packages,https://github.com/parro-it/awesome-micro-npm-packages#readme,,true
Programming Languages,Mad Science npm Packages,https://github.com/feross/awesome-mad-science#readme,Impossible sounding projects that exist.,true
Programming Languages,Maintenance Modules,https://github.com/maxogden/maintenance-modules#readme,For npm packages.,true
Programming Languages,npm,https://github.com/sindresorhus/awesome-npm#readme,Package manager.,true
Programming Languages,AVA,https://github.com/avajs/awesome-ava#readme,Test runner.,true
Programming Languages,ESLint,https://github.com/dustinspecker/awesome-eslint#readme,Linter.,true
Programming Languages,Functional Programming,https://github.com/stoeffel/awesome-fp-js#readme,,true
Programming Languages,Observables,https://github.com/sindresorhus/awesome-observables#readme,,true
Programming Languages,npm scripts,https://github.com/RyanZim/awesome-npm-scripts#readme,Task runner.,true
Programming Languages,30 Seconds of Code,https://github.com/30-seconds/30-seconds-of-code#readme,Code snippets you can understand in 30 seconds.,true
Programming Languages,Ponyfills,https://github.com/Richienb/awesome-ponyfills#readme,Like polyfills but without overriding native APIs.,true
Programming Languages,Swift,https://github.com/matteocrippa/awesome-swift#readme,"Apple's compiled programming language that is secure, modern, programmer-friendly, and fast.",false
Programming Languages,Education,https://github.com/hsavit1/Awesome-Swift-Education#readme,,true
Programming Languages,Playgrounds,https://github.com/uraimo/Awesome-Swift-Playgrounds#readme,,true
Programming Languages,Python,https://github.com/vinta/awesome-python#readme,General-purpose programming language designed for readability.,false
Programming Languages,Asyncio,https://github.com/timofurrer/awesome-asyncio#readme,Asynchronous I/O in Python 3.,true
Programming Languages,Scientific Audio,https://github.com/faroit/awesome-python-scientific-audio#readme,Scientific research in audio/music.,true
Programming Languages,CircuitPython,https://github.com/adafruit/awesome-circuitpython#readme,A version of Python for microcontrollers.,true
Programming Languages,Data Science,https://github.com/krzjoa/awesome-python-data-science#readme,Data analysis and machine learning.,true
Programming Languages,Typing,https://github.com/typeddjango/awesome-python-typing#readme,Optional static typing for Python.,true
Programming Languages,MicroPython,https://github.com/mcauser/awesome-micropython#readme,A lean and efficient implementation of Python 3 for microcontrollers.,true
Programming Languages,Rust,https://github.com/rust-unofficial/awesome-rust#readme,,false
Programming Languages,Pest,https://github.com/pest-parser/awesome-pest#readme,Parser generator.,true
Programming Languages,Haskell,https://github.com/krispo/awesome-haskell#readme,,false
Programming Languages,PureScript,https://github.com/passy/awesome-purescript#readme,,false
Programming Languages,Go,https://github.com/avelino/awesome-go#readme,,false
Programming Languages,Scala,https://github.com/lauris/awesome-scala#readme,,false
Programming Languages,Scala Native,https://github.com/tindzk/awesome-scala-native#readme,Optimizing ahead-of-time compiler for Scala based on LLVM.,true
Programming Languages,Ruby,https://github.com/markets/awesome-ruby#readme,,false
Programming Languages,Clojure,https://github.com/razum2um/awesome-clojure#readme,,false
Programming Languages,ClojureScript,https://github.com/hantuzun/awesome-clojurescript#readme,,false
Programming Languages,Elixir,https://github.com/h4cc/awesome-elixir#readme,,false
Programming Languages,Elm,https://github.com/sporto/awesome-elm#readme,,false
Programming Languages,Erlang,https://github.com/drobakowski/awesome-erlang#readme,,false
Programming Languages,Julia,https://github.com/svaksha/Julia.jl#readme,High-level dynamic programming language designed to address the needs of high-performance numerical analysis and computational science.,false
Programming Languages,Lua,https://github.com/LewisJEllis/awesome-lua#readme,,false
Programming Languages,C/C++,https://github.com/fffaraz/awesome-cpp#readme,"General-purpose language with a bias toward system programming and embedded, resource-constrained software.",false
Programming Languages,R,https://github.com/qinwf/awesome-R#readme,Functional programming language and environment for statistical computing and graphics.,false
Programming Languages,Learning,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,,true
Programming Languages,D,https://github.com/dlang-community/awesome-d#readme,,false
Programming Languages,Common Lisp,https://github.com/CodyReichert/awesome-cl#readme,Powerful dynamic multiparadigm language that facilitates iterative and interactive development.,false
Programming Languages,Learning,https://github.com/GustavBertram/awesome-common-lisp-learning#readme,,true
Programming Languages,Perl,https://github.com/hachiojipm/awesome-perl#readme,,false
Programming Languages,Groovy,https://github.com/kdabir/awesome-groovy#readme,,false
Programming Languages,Dart,https://github.com/yissachar/awesome-dart#readme,,false
Programming Languages,Java,https://github.com/akullpp/awesome-java#readme,"Popular secure object-oriented language designed for flexibility to ""write once, run anywhere"".",false
Programming Languages,RxJava,https://github.com/eleventigers/awesome-rxjava#readme,,true
Programming Languages,Kotlin,https://github.com/KotlinBy/awesome-kotlin#readme,,false
Programming Languages,OCaml,https://github.com/ocaml-community/awesome-ocaml#readme,,false
Programming Languages,ColdFusion,https://github.com/seancoyne/awesome-coldfusion#readme,,false
Programming Languages,Fortran,https://github.com/rabbiabram/awesome-fortran#readme,,false
Programming Languages,PHP,https://github.com/ziadoz/awesome-php#readme,Server-side scripting language.,false
Programming Languages,Composer,https://github.com/jakoch/awesome-composer#readme,Package manager.,true
Programming Languages,Pascal,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,,false
Programming Languages,AutoHotkey,https://github.com/ahkscript/awesome-AutoHotkey#readme,,false
Programming Languages,AutoIt,https://github.com/J2TeaM/awesome-AutoIt#readme,,false
Programming Languages,Crystal,https://github.com/veelenga/awesome-crystal#readme,,false
Programming Languages,CMake,https://github.com/onqtam/awesome-cmake#readme,"Build, test, and package software.",false
Programming Languages,ActionScript 3,https://github.com/robinrodricks/awesome-actionscript3#readme,Object-oriented language targeting Adobe AIR.,false
Programming Languages,Idris,https://github.com/joaomilho/awesome-idris#readme,General purpose pure functional programming language with dependent types influenced by Haskell and ML.,false
Programming Languages,Ada/SPARK,https://github.com/ohenley/awesome-ada#readme,"Modern programming language designed for large, long-lived apps where reliability and efficiency are essential.",false
Programming Languages,Q#,https://github.com/ebraminio/awesome-qsharp#readme,Domain-specific programming language used for expressing quantum algorithms.,false
Programming Languages,Imba,https://github.com/koolamusic/awesome-imba#readme,Programming language inspired by Ruby and Python and compiles to performant JavaScript.,false
Programming Languages,Vala,https://github.com/desiderantes/awesome-vala#readme,"Programming language designed to take full advantage of the GLib and GNOME ecosystems, while preserving the speed of C code.",false
Programming Languages,Coq,https://github.com/coq-community/awesome-coq#readme,Formal language and environment for programming and specification which facilitates interactive development of machine-checked proofs.,false
Programming Languages,V,https://github.com/vlang/awesome-v#readme,"Simple, fast, safe, compiled language for developing maintainable software.",false
Programming Languages,Move,https://github.com/MystenLabs/awesome-move#readme,Domain-specific programming language for writing safe smart contracts.,false
Programming Languages,Esolangs,https://github.com/angrykoala/awesome-esolangs#readme,Programming languages designed for experimentation or as jokes rather than actual use.,false
Programming Languages,VBA,https://github.com/sancarn/awesome-vba#readme,An event-driven version of Visual Basic 6.0 built into most Microsoft Office apps for automation and scripting.,false
Programming Languages,F#,https://github.com/fsprojects/awesome-fsharp#readme,A .NET-based language with focus on functional programming.,false
Front-End Development,ES6 Tools,https://github.com/addyosmani/es6-tools#readme,,false
Front-End Development,Web Performance Optimization,https://github.com/davidsonfellipe/awesome-wpo#readme,,false
Front-End Development,Web Tools,https://github.com/lvwzhen/tools#readme,,false
Front-End Development,CSS,https://github.com/awesome-css-group/awesome-css#readme,Style sheet language that specifies how HTML elements are displayed on screen.,false
Front-End Development,Critical-Path Tools,https://github.com/addyosmani/critical-path-css-tools#readme,,true
Front-End Development,Scalability,https://github.com/davidtheclark/scalable-css-reading-list#readme,,true
Front-End Development,Must-Watch Talks,https://github.com/AllThingsSmitty/must-watch-css#readme,,true
Front-End Development,Protips,https://github.com/AllThingsSmitty/css-protips#readme,,true
Front-End Development,Frameworks,https://github.com/troxler/awesome-css-frameworks#readme,,true
Front-End Development,React,https://github.com/enaqx/awesome-react#readme,JavaScript library for building user interfaces.,false
Front-End Development,Relay,https://github.com/expede/awesome-relay#readme,Framework for building data-driven React apps.,true
Front-End Development,React Hooks,https://github.com/glauberfc/awesome-react-hooks#readme,Lets you use state and other React features without writing a class.,true
Front-End Development,Web Components,https://github.com/web-padawan/awesome-web-components#readme,,false
Front-End Development,Polymer,https://github.com/Granze/awesome-polymer#readme,JavaScript library to develop Web Components.,false
Front-End Development,Angular,https://github.com/PatrickJS/awesome-angular#readme,App framework.,false
Front-End Development,Backbone,https://github.com/sadcitizen/awesome-backbone#readme,App framework.,false
Front-End Development,HTML5,https://github.com/diegocard/awesome-html5#readme,Markup language used for websites & web apps.,false
Front-End Development,SVG,https://github.com/willianjusten/awesome-svg#readme,XML-based vector image format.,false
Front-End Development,Canvas,https://github.com/raphamorim/awesome-canvas#readme,,false
Front-End Development,KnockoutJS,https://github.com/dnbard/awesome-knockout#readme,JavaScript library.,false
Front-End Development,Dojo Toolkit,https://github.com/petk/awesome-dojo#readme,JavaScript toolkit.,false
Front-End Development,Inspiration,https://github.com/NoahBuscher/Inspire#readme,,false
Front-End Development,Ember,https://github.com/ember-community-russia/awesome-ember#readme,App framework.,false
Front-End Development,Android UI,https://github.com/wasabeef/awesome-android-ui#readme,,false
Front-End Development,iOS UI,https://github.com/cjwirth/awesome-ios-ui#readme,,false
Front-End Development,Meteor,https://github.com/Urigo/awesome-meteor#readme,,false
Front-End Development,BEM,https://github.com/sturobson/BEM-resources#readme,,false
Front-End Development,Flexbox,https://github.com/afonsopacifer/awesome-flexbox#readme,,false
Front-End Development,Web Typography,https://github.com/deanhume/typography#readme,,false
Front-End Development,Web Accessibility,https://github.com/brunopulis/awesome-a11y#readme,,false
Front-End Development,Material Design,https://github.com/sachin1092/awesome-material#readme,,false
Front-End Development,D3,https://github.com/wbkd/awesome-d3#readme,"Library for producing dynamic, interactive data visualizations.",false
Front-End Development,Emails,https://github.com/jonathandion/awesome-emails#readme,,false
Front-End Development,jQuery,https://github.com/petk/awesome-jquery#readme,Easy to use JavaScript library for DOM manipulation.,false
Front-End Development,Tips,https://github.com/AllThingsSmitty/jquery-tips-everyone-should-know#readme,,true
Front-End Development,Web Audio,https://github.com/notthetup/awesome-webaudio#readme,,false
Front-End Development,Offline-First,https://github.com/pazguille/offline-first#readme,,false
Front-End Development,Static Website Services,https://github.com/agarrharr/awesome-static-website-services#readme,,false
Front-End Development,Cycle.js,https://github.com/cyclejs-community/awesome-cyclejs#readme,Functional and reactive JavaScript framework.,false
Front-End Development,Text Editing,https://github.com/dok/awesome-text-editing#readme,,false
Front-End Development,Motion UI Design,https://github.com/fliptheweb/motion-ui-design#readme,,false
Front-End Development,Vue.js,https://github.com/vuejs/awesome-vue#readme,App framework.,false
Front-End Development,Marionette.js,https://github.com/sadcitizen/awesome-marionette#readme,App framework.,false
Front-End Development,Aurelia,https://github.com/aurelia-contrib/awesome-aurelia#readme,App framework.,false
Front-End Development,Charting,https://github.com/zingchart/awesome-charting#readme,,false
Front-End Development,Ionic Framework,https://github.com/candelibas/awesome-ionic#readme,,false
Front-End Development,Chrome DevTools,https://github.com/ChromeDevTools/awesome-chrome-devtools#readme,,false
Front-End Development,PostCSS,https://github.com/jdrgomes/awesome-postcss#readme,CSS tool.,false
Front-End Development,Draft.js,https://github.com/nikgraf/awesome-draft-js#readme,Rich text editor framework for React.,false
Front-End Development,Service Workers,https://github.com/TalAter/awesome-service-workers#readme,,false
Front-End Development,Progressive Web Apps,https://github.com/TalAter/awesome-progressive-web-apps#readme,,false
Front-End Development,choo,https://github.com/choojs/awesome-choo#readme,App framework.,false
Front-End Development,Redux,https://github.com/brillout/awesome-redux#readme,State container for JavaScript apps.,false
Front-End Development,Browserify,https://github.com/browserify/awesome-browserify#readme,Module bundler.,false
Front-End Development,Sass,https://github.com/Famolus/awesome-sass#readme,CSS preprocessor.,false
Front-End Development,Ant Design,https://github.com/websemantics/awesome-ant-design#readme,Enterprise-class UI design language.,false
Front-End Development,Less,https://github.com/LucasBassetti/awesome-less#readme,CSS preprocessor.,false
Front-End Development,WebGL,https://github.com/sjfricke/awesome-webgl#readme,JavaScript API for rendering 3D graphics.,false
Front-End Development,Preact,https://github.com/preactjs/awesome-preact#readme,App framework.,false
Front-End Development,Progressive Enhancement,https://github.com/jbmoelker/progressive-enhancement-resources#readme,,false
Front-End Development,Next.js,https://github.com/unicodeveloper/awesome-nextjs#readme,Framework for server-rendered React apps.,false
Front-End Development,lit,https://github.com/web-padawan/awesome-lit#readme,Library for building web components with a declarative template system.,false
Front-End Development,JAMstack,https://github.com/automata/awesome-jamstack#readme,"Modern web development architecture based on client-side JavaScript, reusable APIs, and prebuilt markup.",false
Front-End Development,WordPress-Gatsby,https://github.com/henrikwirth/awesome-wordpress-gatsby#readme,Web development technology stack with WordPress as a back end and Gatsby as a front end.,false
Front-End Development,Mobile Web Development,https://github.com/myshov/awesome-mobile-web-development#readme,Creating a great mobile web experience.,false
Front-End Development,Storybook,https://github.com/lauthieb/awesome-storybook#readme,Development environment for UI components.,false
Front-End Development,Blazor,https://github.com/AdrienTorris/awesome-blazor#readme,.NET web framework using C#/Razor and HTML that runs in the browser with WebAssembly.,false
Front-End Development,PageSpeed Metrics,https://github.com/csabapalfi/awesome-pagespeed-metrics#readme,Metrics to help understand page speed and user experience.,false
Front-End Development,Tailwind CSS,https://github.com/aniftyco/awesome-tailwindcss#readme,Utility-first CSS framework for rapid UI development.,false
